areaName,Borough,2020_01,2020_02,2020_03,2020_04,2020_05,2020_06,2020_07,2020_08,2020_09,2020_10,2020_11,2020_12,2021_01,2021_02,2021_03
Ozone Park,Queens,,,,,,,,,,,,,,,
Park Slope,Brooklyn,3025,3200,3200,3050,3150,3000,2995,2900,2800,2795,2700,2650,2678,2663,2600
Parkchester,Bronx,,,1625,,1600,,,1600,,1600,1600,1600,1600,1550,
Pelham Bay,Bronx,,,,,,,,,,1628,,1736,,1695,1638
Pelham Gardens,Bronx,,,,,,,,,,,,,,,
Pelham Parkway,Bronx,2000,1899,1899,1939,1750,1787,1949,1949,1899,1899,1899,1899,1812,1750,1750
Pomonok,Queens,,,,,,,,,,,,,1795,,
Port Morris,Bronx,,,,,,,,,,,,,,,
Prospect Heights,Brooklyn,3250,3025,3000,3200,3142,3100,3000,2925,2800,2708,2650,2600,2680,2600,2600
Prospect Lefferts Gardens,Brooklyn,2400,2347,2285,2400,2449,2350,2386,2300,2195,2199,2100,2000,2000,2000,1995
Prospect Park,Brooklyn,2700,2734,2713,2700,2813,2800,2750,2695,2528,2500,2495,2475,2475,2428,2400
Prospect Park South,Brooklyn,2200,2100,2113,2195,2199,2199,2197,2150,2100,2091,1999,1900,1923,1895,1895
Queens,Queens,2300,2350,2350,2395,2350,2300,2299,2200,2200,2100,2100,2000,2000,2000,2000
Queens Village,Queens,,,2125,,,2100,,,2125,,,,,,1600
Red Hook,Brooklyn,2700,2650,2725,2700,2900,2850,2725,2700,2500,2275,2500,2600,2500,2500,2500
Rego Park,Queens,2105,2100,2100,2100,2100,2100,1945,1900,1947,1900,1950,1940,2000,2000,1850
Richmond Hill,Queens,1850,1850,,,1900,1900,,1700,,,,,1900,1938,1900
Ridgewood,Queens,2500,2500,2475,2500,2540,2540,2500,2425,2397,2299,2250,2250,2250,2249,2200
Riverdale,Bronx,2375,2396,2400,2450,2315,2375,2400,2450,2450,2395,2275,2250,2293,2348,2233
Rockaway All,Queens,1942,1800,1800,1800,1998,1825,1925,1900,1845,1900,1900,2050,1785,1798,1699
Roosevelt Island,Manhattan,3400,3243,3106,3092,3200,3200,3300,3300,3325,3295,3310,3200,2900,2900,2875
Rosedale,Queens,,,,,,,,,,,,,,,
Schuylerville,Bronx,,,,,,,,,,,,,,,
Seagate,Brooklyn,,,,,,,,,,,,,,,
Sheepshead Bay,Brooklyn,2185,1900,1850,2255,2005,2025,2000,2010,1875,1900,1990,1900,1863,1900,1898
Soho,Manhattan,5095,4500,5450,5450,4495,4323,4098,4025,4100,3995,4151,4000,3750,3995,3780
Soundview,Bronx,2073,1850,2000,2000,1895,1699,1850,2075,1687,1862,1862,1831,1900,2021,2021
South Brooklyn,Brooklyn,2199,2195,2200,2200,2188,2160,2150,2100,2005,1999,1950,1925,1900,1900,1920
South Jamaica,Queens,,,,,,,,,,,,,,,
South Ozone Park,Queens,,,,,,,,,,,,,,,
South Queens,Queens,2000,2200,2200,2100,1925,1902,2000,2000,2000,2000,1999,2000,2000,2100,1958
South Richmond Hill,Queens,,,,,,,,,,,,,,,
Springfield Gardens,Queens,,,,,,,,,,,,,,,
St. Albans,Queens,,,,,,,,,,,,,,,
Staten Island,Staten Island,1952,1998,2123,1831,1831,1950,1863,1787,1823,1913,1950,2100,1900,1895,1848
Stuyvesant Town/PCV,Manhattan,3869,4131,3908,3980,3945,3910,3902,3786,3770,3885,3757,3872,4309,3588,3535
Sunnyside,Queens,2000,2000,2100,2100,2100,2000,2000,1999,1995,1900,1800,1803,1847,1795,1800
Sunset Park,Brooklyn,2100,2100,2100,2074,2063,2000,2099,2031,1950,1900,1900,1900,1899,1799,1845
The Rockaways,Queens,1942,1800,1800,1800,1998,1825,1925,1900,1845,1900,1900,2050,1785,1798,1699
Throgs Neck,Bronx,,,,,,2300,,,,,,,,2373,2475
Tremont,Bronx,1912,,1924,1696,1649,1738,1676,1650,1625,1725,1649,1649,1550,1550,1638
Tribeca,Manhattan,7095,6950,6773,6412,6750,7000,6900,6875,6595,6800,6500,6762,6425,5750,5198
University Heights,Bronx,1749,1699,1799,1616,1643,1650,1650,1650,1624,1787,1675,1699,1671,1692,1772
Upper East Side,Manhattan,3285,3250,3250,3150,3025,2950,2800,2700,2650,2500,2495,2495,2413,2450,2400
Upper West Side,Manhattan,3650,3568,3500,3400,3295,3200,3129,3000,2921,2800,2800,2800,2795,2814,2795
Utopia,Queens,,,,,,,,,,,,,,,
Van Nest,Bronx,,,,,,,,,,,,,,,
Wakefield,Bronx,2195,1998,1900,,,,,,,,,,1800,1625,1775
Washington Heights,Manhattan,2216,2250,2295,2250,2195,2250,2225,2195,2100,2100,2100,2000,2000,2000,2000
West Harlem,Manhattan,2495,2600,2600,2500,2600,2550,2525,2295,2315,2295,2295,2278,2295,2295,2281
West Village,Manhattan,4195,4102,4175,4100,3695,3607,3596,3439,3300,3200,3200,3100,3000,3150,3027
Westchester Village,Bronx,,,,,,,,,,,,,,,
Whitestone,Queens,2300,2225,,,,,2425,2325,2675,2500,,,2400,,
Williamsbridge,Bronx,1688,1978,,,,,2050,1875,1850,,1850,,1750,1950,1950
Williamsburg,Brooklyn,3500,3499,3497,3495,3300,3199,3150,3000,2900,2833,2800,2800,2775,2800,2800
Windsor Terrace,Brooklyn,2500,2500,2658,2684,2545,2800,2717,2645,2645,2590,2750,2750,2750,2500,2700
Woodhaven,Queens,1800,1850,,,1850,1773,1838,2100,2000,1838,1923,2100,2000,1725,
Woodlawn,Bronx,,,,,,,,1700,,,,,,,
Woodside,Queens,1950,2100,2200,1850,1833,1900,1850,1950,1850,1825,1850,1800,1775,1793,1750
Woodstock,Bronx,1950,1950,1950,,,,1945,1971,,,,,,1495,1375
